video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
08-41-24.mp4,2814,2814,12,1,Bactrocera dorsalis,enter,1,1,1262.11,596.04,0.8818
08-41-24.mp4,2882,2882,12,1,Bactrocera dorsalis,exit,-1,0,1244.07,583.4,0.9067
08-41-24.mp4,4454,4454,12,1,Bactrocera dorsalis,enter,1,1,1179.21,576.2,0.874
08-41-24.mp4,4597,4597,12,1,Bactrocera dorsalis,exit,-1,0,1165.79,574.27,0.8862
08-41-24.mp4,9576,9576,115,0,Bactrocera correcta,exit,-1,0,1087.54,607.87,0.8872
08-41-24.mp4,14098,14098,562,0,Bactrocera correcta,enter,1,1,1260.5,602.76,0.8911
08-41-24.mp4,16722,16722,944,0,Bactrocera correcta,enter,1,2,1210.3,583.02,0.8608
08-41-24.mp4,16789,16789,944,0,Bactrocera correcta,exit,-1,1,1105.75,595.47,0.8662
08-41-24.mp4,17597,17597,1325,0,Bactrocera correcta,exit,-1,0,1111.8,857.39,0.8774
08-41-24.mp4,17978,17978,1256,1,Bactrocera dorsalis,enter,1,1,1045.62,781.45,0.8926
08-41-24.mp4,18751,18751,1310,0,Bactrocera correcta,enter,1,1,1062.68,808.91,0.6582
08-41-24.mp4,18832,18832,1310,1,Bactrocera dorsalis,exit,-1,0,1049.12,657.48,0.5469
08-41-24.mp4,18832,18832,1666,0,Bactrocera correcta,exit,-1,0,1047.75,656.87,0.6206
08-41-24.mp4,18989,18989,1256,1,Bactrocera dorsalis,exit,-1,0,1296.87,829.89,0.9072
08-41-24.mp4,20336,20336,1886,0,Bactrocera correcta,enter,1,1,1301.09,816.96,0.8472
08-41-24.mp4,22763,22763,2142,1,Bactrocera dorsalis,enter,1,1,1113.43,603.07,0.8726
08-41-24.mp4,22929,22929,2142,1,Bactrocera dorsalis,exit,-1,0,1305.94,812.13,0.8887
08-41-24.mp4,23059,23059,2065,1,Bactrocera dorsalis,enter,1,1,1039.96,727.5,0.8652
08-41-24.mp4,23097,23097,2065,1,Bactrocera dorsalis,exit,-1,0,1030.18,725.41,0.8569
08-41-24.mp4,24809,24809,2019,0,Bactrocera correcta,enter,1,2,1173.84,873.58,0.7788
08-41-24.mp4,24883,24883,2142,1,Bactrocera dorsalis,enter,1,1,1053.95,657.68,0.8896
08-41-24.mp4,24926,24926,2142,1,Bactrocera dorsalis,exit,-1,0,1034.08,708.67,0.8389
08-41-24.mp4,24986,24986,2019,1,Bactrocera dorsalis,exit,-1,0,1286.99,833.54,0.7891
08-41-24.mp4,25183,25183,2019,1,Bactrocera dorsalis,enter,1,1,1205.86,861.71,0.7358
08-41-24.mp4,25185,25185,2019,1,Bactrocera dorsalis,exit,-1,0,1209.09,875.99,0.8843
