video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
output.mp4,1806,1806,3,0,Bactrocera dorsalis,enter,1,1,1327.49,752.74,0.9258
output.mp4,1872,1872,3,0,Bactrocera dorsalis,exit,-1,0,1225.43,575.01,0.9497
output.mp4,1901,1901,3,0,Bactrocera dorsalis,enter,1,1,1064.14,634.49,0.9346
output.mp4,2120,2120,3,0,Bactrocera dorsalis,exit,-1,0,1334.12,694.56,0.9409
output.mp4,2421,2421,22,0,Bactrocera dorsalis,enter,1,1,1195.2,578.19,0.9424
output.mp4,2442,2442,22,0,Bactrocera dorsalis,exit,-1,0,1117.37,588.35,0.9224
output.mp4,2679,2679,22,0,Bactrocera dorsalis,enter,1,1,1163.49,576.74,0.9434
output.mp4,2749,2749,22,0,Bactrocera dorsalis,exit,-1,0,1063.12,634.7,0.9365
output.mp4,2772,2772,22,0,Bactrocera dorsalis,enter,1,1,1060.79,640.38,0.9141
output.mp4,2789,2789,29,0,Bactrocera dorsalis,enter,1,2,1253.44,854.95,0.9453
output.mp4,2801,2801,22,0,Bactrocera dorsalis,exit,-1,1,1045.6,661.44,0.936
output.mp4,2848,2848,29,0,Bactrocera dorsalis,exit,-1,0,1117.29,584.69,0.9429
output.mp4,2956,2956,11,0,Bactrocera dorsalis,enter,1,1,1244.02,588.55,0.937
output.mp4,3153,3153,11,0,Bactrocera dorsalis,exit,-1,0,1229.34,867.6,0.9238
output.mp4,3214,3214,51,0,Bactrocera dorsalis,enter,1,1,1055.96,801.02,0.9292
output.mp4,3234,3234,51,0,Bactrocera dorsalis,exit,-1,0,1203.82,874.75,0.9419
output.mp4,4494,4494,75,0,Bactrocera dorsalis,enter,1,1,1325.37,760.78,0.936
output.mp4,4685,4685,75,0,Bactrocera dorsalis,exit,-1,0,1285.68,836.24,0.9346
output.mp4,4819,4819,91,0,Bactrocera dorsalis,enter,1,1,1315.51,788.12,0.9189
output.mp4,4881,4881,78,0,Bactrocera dorsalis,enter,1,2,1268.19,602.21,0.9204
output.mp4,4911,4911,78,0,Bactrocera dorsalis,exit,-1,1,1113.31,589.09,0.8833
output.mp4,4931,4931,78,0,Bactrocera dorsalis,enter,1,2,1079.59,616.46,0.9307
output.mp4,4936,4936,78,0,Bactrocera dorsalis,exit,-1,1,1077.66,617.68,0.936
output.mp4,4943,4943,66,0,Bactrocera dorsalis,enter,1,2,1325.03,730.94,0.9419
output.mp4,5001,5001,66,0,Bactrocera dorsalis,exit,-1,1,1158.16,576.09,0.9517
output.mp4,5009,5009,78,0,Bactrocera dorsalis,enter,1,2,1049.42,784.11,0.9048
output.mp4,5038,5038,78,0,Bactrocera dorsalis,exit,-1,1,1084.28,836.54,0.9316
output.mp4,5055,5055,78,0,Bactrocera dorsalis,enter,1,2,1041.93,767.85,0.9277
output.mp4,5079,5079,91,0,Bactrocera dorsalis,exit,-1,1,1077.74,616.13,0.937
output.mp4,5224,5224,105,0,Bactrocera dorsalis,enter,1,2,1034.3,718.17,0.8521
output.mp4,5292,5292,105,0,Bactrocera dorsalis,exit,-1,1,1056.08,802.61,0.9155
output.mp4,5299,5299,105,0,Bactrocera dorsalis,enter,1,2,1060.37,807.85,0.9194
output.mp4,5333,5333,78,0,Bactrocera dorsalis,exit,-1,1,1270.93,595.15,0.9424
output.mp4,5815,5815,114,0,Bactrocera dorsalis,enter,1,2,1153.63,863.96,0.9346
output.mp4,5843,5843,114,0,Bactrocera dorsalis,exit,-1,1,1293.89,826.11,0.9351
output.mp4,5910,5910,114,0,Bactrocera dorsalis,enter,1,2,1278.92,835.23,0.9502
output.mp4,5934,5934,114,0,Bactrocera dorsalis,exit,-1,1,1180.1,874.28,0.9287
output.mp4,6558,6558,125,0,Bactrocera dorsalis,enter,1,2,1290.88,824.56,0.9443
output.mp4,6657,6657,125,0,Bactrocera dorsalis,exit,-1,1,1057.61,641.19,0.9209
output.mp4,6789,6789,139,0,Bactrocera dorsalis,enter,1,2,1074.46,622.7,0.9092
output.mp4,6889,6889,139,0,Bactrocera dorsalis,exit,-1,1,1340.41,717.35,0.9243
output.mp4,9649,9649,182,0,Bactrocera dorsalis,enter,1,2,1199.79,575.38,0.9346
output.mp4,15783,15783,190,0,Bactrocera dorsalis,enter,1,3,1311.8,783.94,0.9375
output.mp4,15871,15871,190,0,Bactrocera dorsalis,exit,-1,2,1174.48,882.15,0.918
output.mp4,15928,15928,190,0,Bactrocera dorsalis,enter,1,3,1094.16,842.34,0.9014
output.mp4,18454,18454,305,0,Bactrocera dorsalis,enter,1,4,1269.43,604.68,0.9375
output.mp4,19365,19365,313,0,Bactrocera dorsalis,enter,1,5,1296.78,812.61,0.9312
output.mp4,19694,19694,313,0,Bactrocera dorsalis,exit,-1,4,1041.74,772.28,0.9482
output.mp4,19701,19701,313,0,Bactrocera dorsalis,enter,1,5,1041.71,771.19,0.9482
output.mp4,19706,19706,313,0,Bactrocera dorsalis,exit,-1,4,1041.12,770.19,0.9463
output.mp4,19711,19711,313,0,Bactrocera dorsalis,enter,1,5,1041.55,770.56,0.9341
output.mp4,19720,19720,313,0,Bactrocera dorsalis,exit,-1,4,1039.12,768.04,0.9214
output.mp4,19853,19853,313,0,Bactrocera dorsalis,enter,1,5,1046.43,664.39,0.938
output.mp4,19855,19855,313,0,Bactrocera dorsalis,exit,-1,4,1046.57,662.6,0.9395
output.mp4,19862,19862,313,0,Bactrocera dorsalis,enter,1,5,1047.05,663.48,0.9287
output.mp4,19915,19915,313,0,Bactrocera dorsalis,exit,-1,4,1048.41,657.71,0.9395
output.mp4,20097,20097,328,0,Bactrocera dorsalis,enter,1,5,1326.76,767.09,0.939
output.mp4,20139,20139,328,0,Bactrocera dorsalis,exit,-1,4,1098.67,848.98,0.9346
output.mp4,20804,20804,313,0,Bactrocera dorsalis,enter,1,5,1042.8,673.97,0.9263
output.mp4,21831,21831,328,0,Bactrocera dorsalis,enter,1,6,1192.73,873.65,0.9209
output.mp4,21840,21840,328,0,Bactrocera dorsalis,exit,-1,5,1085.94,837.56,0.9546
output.mp4,21943,21943,382,0,Bactrocera dorsalis,enter,1,6,1325.32,756.6,0.939
output.mp4,21979,21979,382,0,Bactrocera dorsalis,exit,-1,5,1277.69,841.33,0.9399
output.mp4,21986,21986,382,0,Bactrocera dorsalis,enter,1,6,1281.13,834.4,0.936
output.mp4,22874,22874,387,0,Bactrocera dorsalis,enter,1,7,1170.0,872.38,0.938
output.mp4,23169,23169,387,0,Bactrocera dorsalis,exit,-1,6,1215.54,874.14,0.9355
output.mp4,23612,23612,328,0,Bactrocera dorsalis,enter,1,7,1323.15,730.95,0.9331
output.mp4,24214,24214,387,0,Bactrocera dorsalis,enter,1,8,1324.6,745.56,0.9248
output.mp4,24234,24234,429,0,Bactrocera dorsalis,enter,1,9,1317.67,669.58,0.938
output.mp4,24526,24526,439,0,Bactrocera dorsalis,enter,1,10,1321.86,757.12,0.9248
output.mp4,24539,24539,429,0,Bactrocera dorsalis,exit,-1,9,1038.0,682.35,0.9253
output.mp4,24573,24573,429,0,Bactrocera dorsalis,enter,1,10,1040.22,683.07,0.9067
output.mp4,24596,24596,439,0,Bactrocera dorsalis,exit,-1,9,1070.67,824.73,0.9399
output.mp4,24656,24656,439,0,Bactrocera dorsalis,enter,1,10,1044.41,679.96,0.9209
output.mp4,25443,25443,463,0,Bactrocera dorsalis,enter,1,11,1279.8,609.64,0.9487
output.mp4,25463,25463,463,0,Bactrocera dorsalis,exit,-1,10,1223.62,577.18,0.9521
output.mp4,25469,25469,463,0,Bactrocera dorsalis,enter,1,11,1221.07,580.2,0.9385
output.mp4,25564,25564,463,0,Bactrocera dorsalis,exit,-1,10,1292.27,832.93,0.939
output.mp4,25652,25652,453,0,Bactrocera dorsalis,enter,1,11,1275.01,609.78,0.937
output.mp4,27452,27452,517,0,Bactrocera dorsalis,enter,1,12,1323.06,681.74,0.457
output.mp4,27476,27476,517,0,Bactrocera dorsalis,exit,-1,11,1176.25,883.27,0.9443
output.mp4,28317,28317,541,0,Bactrocera dorsalis,enter,1,12,1292.37,824.13,0.9209
output.mp4,28382,28382,541,0,Bactrocera dorsalis,exit,-1,11,1104.51,590.13,0.9141
output.mp4,28795,28795,566,0,Bactrocera dorsalis,enter,1,12,1199.28,866.62,0.9263
output.mp4,28813,28813,566,0,Bactrocera dorsalis,exit,-1,11,1042.71,776.58,0.9458
output.mp4,28817,28817,566,0,Bactrocera dorsalis,enter,1,12,1042.56,768.9,0.9478
output.mp4,28929,28929,587,0,Bactrocera dorsalis,enter,1,13,1240.85,853.06,0.9141
output.mp4,29220,29220,587,0,Bactrocera dorsalis,exit,-1,12,1032.52,724.89,0.9307
output.mp4,29295,29295,587,0,Bactrocera dorsalis,enter,1,13,1098.09,601.21,0.937
output.mp4,29346,29346,587,0,Bactrocera dorsalis,exit,-1,12,1232.09,580.23,0.9404
output.mp4,29388,29388,587,0,Bactrocera dorsalis,enter,1,13,1122.35,591.66,0.937
output.mp4,29465,29465,609,0,Bactrocera dorsalis,enter,1,14,1262.61,596.52,0.9385
output.mp4,29526,29526,609,0,Bactrocera dorsalis,exit,-1,13,1220.95,578.16,0.9214
output.mp4,29589,29589,609,0,Bactrocera dorsalis,enter,1,14,1156.87,579.42,0.9312
output.mp4,29649,29649,609,0,Bactrocera dorsalis,exit,-1,13,1106.51,594.47,0.9287
output.mp4,29767,29767,612,0,Bactrocera dorsalis,enter,1,14,1315.52,772.62,0.9307
output.mp4,30072,30072,609,0,Bactrocera dorsalis,enter,1,15,1038.57,760.16,0.876
output.mp4,30218,30218,609,0,Bactrocera dorsalis,exit,-1,14,1168.13,875.7,0.9355
output.mp4,30890,30890,609,0,Bactrocera dorsalis,enter,1,15,1287.6,832.36,0.9258
output.mp4,30999,30999,609,0,Bactrocera dorsalis,exit,-1,14,1168.19,573.57,0.9316
output.mp4,31099,31099,609,0,Bactrocera dorsalis,enter,1,15,1147.49,582.81,0.9263
output.mp4,31141,31141,640,0,Bactrocera dorsalis,enter,1,16,1271.39,609.32,0.9453
output.mp4,31163,31163,640,0,Bactrocera dorsalis,exit,-1,15,1256.14,587.85,0.9209
output.mp4,31363,31363,640,0,Bactrocera dorsalis,enter,1,16,1066.59,630.86,0.918
output.mp4,31834,31834,609,0,Bactrocera dorsalis,exit,-1,15,1100.54,598.05,0.9194
output.mp4,31891,31891,609,0,Bactrocera dorsalis,enter,1,16,1037.35,733.03,0.6875
output.mp4,31905,31905,657,0,Bactrocera dorsalis,enter,1,17,1328.84,696.53,0.9248
output.mp4,32011,32011,657,0,Bactrocera dorsalis,exit,-1,16,1155.09,571.36,0.9282
output.mp4,32029,32029,658,0,Bactrocera dorsalis,enter,1,17,1307.97,800.24,0.9419
output.mp4,32097,32097,609,0,Bactrocera dorsalis,exit,-1,16,1081.03,614.13,0.9355
output.mp4,32116,32116,609,0,Bactrocera dorsalis,enter,1,17,1077.67,618.59,0.9448
output.mp4,32188,32188,658,0,Bactrocera dorsalis,exit,-1,16,1085.77,840.75,0.9399
output.mp4,32391,32391,670,0,Bactrocera dorsalis,enter,1,17,1275.21,607.91,0.9434
output.mp4,32537,32537,670,0,Bactrocera dorsalis,exit,-1,16,1071.26,824.53,0.939
output.mp4,32627,32627,670,0,Bactrocera dorsalis,enter,1,17,1036.49,742.01,0.8989
output.mp4,32632,32632,657,0,Bactrocera dorsalis,enter,1,18,1037.2,693.85,0.8862
output.mp4,32636,32636,657,0,Bactrocera dorsalis,exit,-1,17,1036.04,693.88,0.8726
output.mp4,32637,32637,657,0,Bactrocera dorsalis,enter,1,18,1038.37,693.98,0.8091
output.mp4,32642,32642,657,0,Bactrocera dorsalis,exit,-1,17,1036.53,695.66,0.8481
output.mp4,32643,32643,657,0,Bactrocera dorsalis,enter,1,18,1036.71,696.53,0.8438
output.mp4,32644,32644,657,0,Bactrocera dorsalis,exit,-1,17,1035.89,694.19,0.8428
output.mp4,33466,33466,710,0,Bactrocera dorsalis,enter,1,18,1279.66,837.07,0.9409
output.mp4,33567,33567,710,0,Bactrocera dorsalis,exit,-1,17,1206.25,568.26,0.9312
output.mp4,33678,33678,710,0,Bactrocera dorsalis,enter,1,18,1177.59,576.86,0.9399
output.mp4,33697,33697,710,0,Bactrocera dorsalis,exit,-1,17,1125.83,584.0,0.9346
output.mp4,33775,33775,710,0,Bactrocera dorsalis,enter,1,18,1041.47,679.83,0.9263
output.mp4,33862,33862,710,0,Bactrocera dorsalis,exit,-1,17,1056.08,813.8,0.9282
output.mp4,34295,34295,756,0,Bactrocera dorsalis,enter,1,18,1318.97,660.58,0.9219
output.mp4,34821,34821,756,0,Bactrocera dorsalis,exit,-1,17,1032.67,732.2,0.9033
output.mp4,36207,36207,759,0,Bactrocera dorsalis,enter,1,18,1325.22,673.5,0.9341
output.mp4,36361,36361,759,0,Bactrocera dorsalis,exit,-1,17,1054.28,648.35,0.937
output.mp4,36363,36363,753,0,Bactrocera dorsalis,enter,1,18,1153.36,869.0,0.9424
output.mp4,36388,36388,753,0,Bactrocera dorsalis,exit,-1,17,1132.12,865.41,0.9492
output.mp4,36391,36391,753,0,Bactrocera dorsalis,enter,1,18,1128.68,863.41,0.9487
output.mp4,36400,36400,759,0,Bactrocera dorsalis,enter,1,19,1036.22,706.05,0.9209
output.mp4,36407,36407,759,0,Bactrocera dorsalis,exit,-1,18,1035.23,702.2,0.9307
output.mp4,36408,36408,759,0,Bactrocera dorsalis,enter,1,19,1035.65,702.24,0.915
output.mp4,36458,36458,753,0,Bactrocera dorsalis,exit,-1,18,1158.81,871.99,0.9346
output.mp4,36474,36474,753,0,Bactrocera dorsalis,enter,1,19,1161.5,871.59,0.938
output.mp4,36484,36484,753,0,Bactrocera dorsalis,exit,-1,18,1173.92,873.72,0.9287
output.mp4,36489,36489,753,0,Bactrocera dorsalis,enter,1,19,1175.37,873.69,0.9331
output.mp4,38709,38709,861,0,Bactrocera dorsalis,enter,1,20,1107.08,852.56,0.9399
output.mp4,39015,39015,864,0,Bactrocera dorsalis,enter,1,21,1321.42,681.4,0.9434
output.mp4,39101,39101,861,0,Bactrocera dorsalis,exit,-1,20,1047.33,659.55,0.8975
output.mp4,39124,39124,864,0,Bactrocera dorsalis,exit,-1,19,1282.58,842.86,0.938
output.mp4,39137,39137,861,0,Bactrocera dorsalis,enter,1,20,1053.26,652.65,0.9185
output.mp4,39739,39739,874,0,Bactrocera dorsalis,enter,1,21,1281.59,836.69,0.9341
output.mp4,39776,39776,861,0,Bactrocera dorsalis,exit,-1,20,1036.54,688.8,0.9204
output.mp4,40313,40313,882,0,Bactrocera dorsalis,enter,1,21,1243.23,853.34,0.9287
output.mp4,40348,40348,882,0,Bactrocera dorsalis,exit,-1,20,1051.46,802.01,0.9375
output.mp4,40350,40350,881,0,Bactrocera dorsalis,enter,1,21,1324.34,695.75,0.9424
output.mp4,40400,40400,882,0,Bactrocera dorsalis,enter,1,22,1035.36,732.1,0.9106
output.mp4,40477,40477,882,0,Bactrocera dorsalis,exit,-1,21,1034.57,700.46,0.9248
output.mp4,40501,40501,882,0,Bactrocera dorsalis,enter,1,22,1066.19,631.76,0.9375
output.mp4,40502,40502,881,0,Bactrocera dorsalis,exit,-1,21,1073.39,827.3,0.9458
output.mp4,40818,40818,897,0,Bactrocera dorsalis,enter,1,22,1104.52,845.03,0.9438
output.mp4,40845,40845,895,0,Bactrocera dorsalis,enter,1,23,1330.58,753.65,0.9473
output.mp4,40883,40883,895,0,Bactrocera dorsalis,exit,-1,22,1313.27,805.81,0.9507
output.mp4,40994,40994,882,0,Bactrocera dorsalis,exit,-1,21,1113.56,589.34,0.9116
output.mp4,41059,41059,882,0,Bactrocera dorsalis,enter,1,22,1058.48,644.72,0.8716
output.mp4,41576,41576,920,0,Bactrocera dorsalis,enter,1,23,1328.61,689.01,0.9443
output.mp4,41581,41581,882,0,Bactrocera dorsalis,exit,-1,22,1038.49,764.48,0.9287
output.mp4,41648,41648,882,0,Bactrocera dorsalis,enter,1,23,1082.29,615.68,0.9258
output.mp4,41700,41700,920,0,Bactrocera dorsalis,exit,-1,22,1050.61,804.21,0.9258
output.mp4,41858,41858,920,0,Bactrocera dorsalis,enter,1,23,1041.35,678.54,0.9136
output.mp4,42221,42221,938,0,Bactrocera dorsalis,enter,1,24,1272.15,834.03,0.9331
output.mp4,42718,42718,933,0,Bactrocera dorsalis,enter,1,25,1330.37,723.09,0.9307
output.mp4,43694,43694,971,0,Bactrocera dorsalis,enter,1,26,1330.58,698.35,0.9355
output.mp4,44465,44465,977,0,Bactrocera dorsalis,enter,1,27,1329.44,752.9,0.9189
output.mp4,45246,45246,992,0,Bactrocera dorsalis,enter,1,28,1320.89,688.7,0.9292
output.mp4,45273,45273,992,0,Bactrocera dorsalis,exit,-1,27,1087.89,608.74,0.9399
output.mp4,45304,45304,992,0,Bactrocera dorsalis,enter,1,28,1049.48,661.14,0.9375
output.mp4,45535,45535,993,0,Bactrocera dorsalis,enter,1,29,1315.39,795.0,0.7827
output.mp4,45703,45703,999,0,Bactrocera dorsalis,enter,1,30,1224.53,866.82,0.937
output.mp4,45711,45711,993,0,Bactrocera dorsalis,exit,-1,29,1321.02,660.79,0.9312
output.mp4,45768,45768,999,0,Bactrocera dorsalis,exit,-1,28,1220.03,871.47,0.9126
output.mp4,46759,46759,1011,0,Bactrocera dorsalis,enter,1,29,1234.53,585.87,0.9375
output.mp4,46831,46831,1011,0,Bactrocera dorsalis,exit,-1,28,1052.98,647.97,0.9292
output.mp4,46907,46907,1011,0,Bactrocera dorsalis,enter,1,29,1037.5,750.09,0.9468
output.mp4,47137,47137,1013,0,Bactrocera dorsalis,enter,1,30,1295.86,816.85,0.9312
output.mp4,47224,47224,1013,0,Bactrocera dorsalis,exit,-1,29,1219.04,577.65,0.9458
output.mp4,47756,47756,1013,0,Bactrocera dorsalis,enter,1,30,1113.42,855.33,0.9272
output.mp4,47763,47763,1013,0,Bactrocera dorsalis,exit,-1,29,1171.07,876.53,0.9482
output.mp4,49296,49296,1039,0,Bactrocera dorsalis,enter,1,30,1332.26,711.06,0.9292
output.mp4,49522,49522,1039,0,Bactrocera dorsalis,exit,-1,29,1192.8,573.45,0.9326
output.mp4,49994,49994,1039,0,Bactrocera dorsalis,enter,1,30,1190.47,869.55,0.9331
output.mp4,50076,50076,991,0,Bactrocera dorsalis,enter,1,31,1299.87,813.62,0.9414
output.mp4,50079,50079,1039,0,Bactrocera dorsalis,exit,-1,30,1181.69,568.35,0.9248
output.mp4,50481,50481,1055,0,Bactrocera dorsalis,enter,1,31,1208.0,577.01,0.9214
