video,class_id,class_name,start_region_count,end_region_count,frames,fps,global_frame_start,global_frame_end,combined_video,event_frames_dir
08-41-24.mp4,0,Bactrocera correcta,0,41,194245,55.991,1,194245,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
08-41-24.mp4,1,Bactrocera dorsalis,0,27,194245,55.991,1,194245,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
09-41-28.mp4,0,Bactrocera correcta,41,64,201667,56.021,194246,395912,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
09-41-28.mp4,1,Bactrocera dorsalis,27,46,201667,56.021,194246,395912,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
10-41-29.mp4,0,Bactrocera correcta,64,108,201638,56.013,395913,597550,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
10-41-29.mp4,1,Bactrocera dorsalis,46,61,201638,56.013,395913,597550,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
11-41-30.mp4,0,Bactrocera correcta,108,178,201647,56.016,597551,799197,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
11-41-30.mp4,1,Bactrocera dorsalis,61,83,201647,56.016,597551,799197,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
12-41-30.mp4,0,Bactrocera correcta,178,213,134733,56.004,799198,933930,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
12-41-30.mp4,1,Bactrocera dorsalis,83,91,134733,56.004,799198,933930,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
13-36-17.mp4,0,Bactrocera correcta,213,215,7258,55.065,933931,941188,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
13-36-17.mp4,1,Bactrocera dorsalis,91,91,7258,55.065,933931,941188,result_boxmot_two_class_61_118_optimized/combined_track_count.mp4,result_boxmot_two_class_61_118_optimized/event_frames
