video,class_id,class_name,start_region_count,end_region_count,frames,fps,global_frame_start,global_frame_end,combined_video,event_frames_dir
08-41-24.mp4,0,Bactrocera correcta,0,18,194245,55.991,1,194245,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
08-41-24.mp4,1,Bactrocera dorsalis,0,14,194245,55.991,1,194245,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
09-41-28.mp4,0,Bactrocera correcta,18,28,201667,56.021,194246,395912,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
09-41-28.mp4,1,Bactrocera dorsalis,14,22,201667,56.021,194246,395912,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
10-41-29.mp4,0,Bactrocera correcta,28,41,201638,56.013,395913,597550,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
10-41-29.mp4,1,Bactrocera dorsalis,22,30,201638,56.013,395913,597550,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
11-41-30.mp4,0,Bactrocera correcta,41,75,201647,56.016,597551,799197,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
11-41-30.mp4,1,Bactrocera dorsalis,30,40,201647,56.016,597551,799197,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
12-41-30.mp4,0,Bactrocera correcta,75,94,134733,56.004,799198,933930,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
12-41-30.mp4,1,Bactrocera dorsalis,40,44,134733,56.004,799198,933930,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
13-36-17.mp4,0,Bactrocera correcta,94,93,7258,55.065,933931,941188,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
13-36-17.mp4,1,Bactrocera dorsalis,44,45,7258,55.065,933931,941188,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/combined_track_count.mp4,/home/admin1/Projects/ultralytics-main/result_boxmot_two_class_61_118_yolo8n/event_frames
