video,video_frame,global_frame,track_id,cls_id,class_name,direction,delta,count_after,center_x,center_y,conf
16-20-44.mp4_fixed.mp4,490,490,13,0,Bactrocera dorsalis,exit,-1,0,1033.47,716.16,0.897
16-20-44.mp4_fixed.mp4,508,508,13,0,Bactrocera dorsalis,enter,1,1,1037.24,701.11,0.8633
16-20-44.mp4_fixed.mp4,1124,1124,28,0,Bactrocera dorsalis,exit,-1,0,1064.96,820.92,0.9272
16-20-44.mp4_fixed.mp4,1143,1143,28,0,Bactrocera dorsalis,enter,1,1,1034.97,739.44,0.8501
16-20-44.mp4_fixed.mp4,8034,8034,84,0,Bactrocera dorsalis,enter,1,2,1069.2,627.96,0.873
16-20-44.mp4_fixed.mp4,8352,8352,85,0,Bactrocera dorsalis,enter,1,3,1326.17,689.55,0.9185
16-20-44.mp4_fixed.mp4,8426,8426,104,0,Bactrocera dorsalis,enter,1,4,1281.97,829.24,0.9263
16-20-44.mp4_fixed.mp4,8431,8431,104,0,Bactrocera dorsalis,exit,-1,3,1256.67,855.79,0.9229
16-20-44.mp4_fixed.mp4,8435,8435,104,0,Bactrocera dorsalis,enter,1,4,1250.46,858.27,0.9185
16-20-44.mp4_fixed.mp4,8439,8439,104,0,Bactrocera dorsalis,exit,-1,3,1251.07,858.58,0.9209
16-20-44.mp4_fixed.mp4,8503,8503,85,0,Bactrocera dorsalis,exit,-1,2,1153.32,575.75,0.936
16-20-44.mp4_fixed.mp4,8549,8549,104,0,Bactrocera dorsalis,enter,1,3,1159.89,867.07,0.9194
16-20-44.mp4_fixed.mp4,8666,8666,104,0,Bactrocera dorsalis,exit,-1,2,1048.97,654.44,0.8926
16-20-44.mp4_fixed.mp4,8676,8676,104,0,Bactrocera dorsalis,enter,1,3,1051.37,662.98,0.8784
16-20-44.mp4_fixed.mp4,8727,8727,112,0,Bactrocera dorsalis,enter,1,4,1327.51,708.93,0.9263
16-20-44.mp4_fixed.mp4,8822,8822,113,0,Bactrocera dorsalis,enter,1,5,1320.29,665.2,0.9385
16-20-44.mp4_fixed.mp4,8897,8897,112,0,Bactrocera dorsalis,exit,-1,4,1051.93,795.22,0.9409
16-20-44.mp4_fixed.mp4,8929,8929,113,0,Bactrocera dorsalis,exit,-1,3,1210.66,575.35,0.9189
