video,video_frame,global_frame,track_id,logical_track_id,cls_id,class_name,detected_cls_id,voted_cls_id,direction,delta,count_after,center_x,center_y,conf,stitched,stitch_gap_frames,event_reason,occupancy_token_id,recovered_from_logical_id,recovery_score,recovery_track_class_id,recovery_class_match
08-41-24.mp4,2823,2823,12,2,1,Bactrocera dorsalis,1,1,enter,1,1,1250.97,608.5,0.8901,0,0,tracked_enter,1,,,,
08-41-24.mp4,2886,2886,12,2,1,Bactrocera dorsalis,1,1,exit,-1,0,1239.2,566.3,0.8511,0,0,tracked_exit,1,2,,,
08-41-24.mp4,4461,4461,12,2,1,Bactrocera dorsalis,1,1,enter,1,1,1176.86,590.61,0.8511,0,0,tracked_enter,2,,,,
08-41-24.mp4,4806,4806,12,2,1,Bactrocera dorsalis,1,1,exit,-1,0,1167.92,558.91,0.8931,0,0,tracked_exit,2,2,,,
08-41-24.mp4,14099,14099,562,69,0,Bactrocera correcta,0,0,enter,1,1,1251.85,608.82,0.9004,0,0,tracked_enter,3,,,,
08-41-24.mp4,16724,16724,944,113,0,Bactrocera correcta,0,0,enter,1,2,1202.28,594.63,0.8643,0,0,tracked_enter,4,,,,
08-41-24.mp4,16794,16794,944,113,0,Bactrocera correcta,0,0,exit,-1,1,1083.5,591.59,0.8989,0,0,tracked_exit,4,113,,,
08-41-24.mp4,17599,17599,1325,168,0,Bactrocera correcta,0,0,exit,-1,0,1092.22,879.67,0.854,0,0,recovered_exit,3,69,0.7675918539356397,0,1
08-41-24.mp4,17982,17982,1256,162,1,Bactrocera dorsalis,1,1,enter,1,1,1060.26,764.39,0.8438,0,0,tracked_enter,5,,,,
08-41-24.mp4,18753,18753,1310,165,0,Bactrocera correcta,1,0,enter,1,1,1074.27,793.32,0.7104,1,13,tracked_enter,6,,,,
08-41-24.mp4,18844,18844,1310,165,0,Bactrocera correcta,0,0,exit,-1,0,1017.11,572.4,0.6187,1,13,tracked_exit,6,165,,,
08-41-24.mp4,18990,18990,1256,162,1,Bactrocera dorsalis,1,1,exit,-1,0,1306.23,836.14,0.8989,0,0,tracked_exit,5,162,,,
08-41-24.mp4,20350,20350,1886,242,0,Bactrocera correcta,0,0,enter,1,1,1289.9,807.65,0.8511,0,0,tracked_enter,7,,,,
08-41-24.mp4,22764,22764,2142,277,1,Bactrocera dorsalis,1,1,enter,1,1,1110.97,616.8,0.873,0,0,tracked_enter,8,,,,
08-41-24.mp4,22932,22932,2142,277,1,Bactrocera dorsalis,1,1,exit,-1,0,1331.23,803.61,0.8682,0,0,tracked_exit,8,277,,,
08-41-24.mp4,23064,23064,2065,269,1,Bactrocera dorsalis,1,1,enter,1,1,1049.92,739.01,0.8501,0,0,tracked_enter,9,,,,
08-41-24.mp4,23103,23103,2065,269,1,Bactrocera dorsalis,1,1,exit,-1,0,1019.09,748.96,0.8521,0,0,tracked_exit,9,269,,,
08-41-24.mp4,24837,24837,2019,265,0,Bactrocera correcta,0,0,enter,1,2,1213.92,855.21,0.8188,0,0,tracked_enter,10,,,,
08-41-24.mp4,25001,25001,2019,265,0,Bactrocera correcta,0,0,exit,-1,1,1302.48,840.52,0.9048,0,0,tracked_exit,10,265,,,
08-41-24.mp4,25184,25184,2019,265,0,Bactrocera correcta,1,0,enter,1,2,1206.55,853.77,0.7324,0,0,tracked_enter,11,,,,
08-41-24.mp4,25186,25186,2019,265,0,Bactrocera correcta,0,0,exit,-1,1,1215.32,892.84,0.8726,0,0,tracked_exit,11,265,,,
08-41-24.mp4,25277,25277,2019,265,0,Bactrocera correcta,1,0,enter,1,2,1197.06,855.56,0.7759,0,0,tracked_enter,12,,,,
08-41-24.mp4,25311,25311,2398,327,1,Bactrocera dorsalis,1,1,enter,1,1,1180.98,820.62,0.457,1,27,tracked_enter,13,,,,
08-41-24.mp4,25350,25350,2019,265,0,Bactrocera correcta,0,0,exit,-1,1,1173.0,891.45,0.8398,0,0,tracked_exit,12,265,,,
08-41-24.mp4,25373,25373,2398,327,1,Bactrocera dorsalis,0,1,exit,-1,0,1190.63,903.41,0.7358,1,27,tracked_exit,13,327,,,
08-41-24.mp4,25409,25409,2019,265,0,Bactrocera correcta,1,0,enter,1,2,1202.23,856.59,0.7827,0,0,tracked_enter,14,,,,
08-41-24.mp4,25611,25611,2425,334,1,Bactrocera dorsalis,0,1,enter,1,1,1292.56,800.56,0.8799,1,18,tracked_enter,15,,,,
08-41-24.mp4,26102,26102,2019,265,0,Bactrocera correcta,1,0,exit,-1,1,1217.82,562.3,0.7852,1,3,tracked_exit,14,265,,,
08-41-24.mp4,26503,26503,2579,357,0,Bactrocera correcta,0,0,enter,1,2,1050.83,739.7,0.5601,1,2,tracked_enter,16,,,,
08-41-24.mp4,26515,26515,2579,357,0,Bactrocera correcta,0,0,exit,-1,1,1008.65,747.41,0.8105,1,2,tracked_exit,16,357,,,
08-41-24.mp4,26547,26547,2425,357,0,Bactrocera correcta,0,0,enter,1,2,1090.14,627.66,0.8481,1,1,tracked_enter,17,,,,
08-41-24.mp4,26697,26697,2602,366,0,Bactrocera correcta,0,0,exit,-1,1,1056.45,829.56,0.8335,0,0,recovered_exit,7,242,0.7621530467542832,0,1
08-41-24.mp4,27339,27339,2775,392,0,Bactrocera correcta,0,0,enter,1,2,1258.56,661.95,0.7388,1,3,tracked_enter,18,,,,
08-41-24.mp4,28259,28259,2602,366,0,Bactrocera correcta,0,0,enter,1,3,1076.15,797.76,0.7905,0,0,tracked_enter,19,,,,
08-41-24.mp4,28933,28933,2863,408,1,Bactrocera dorsalis,1,1,enter,1,2,1134.9,849.46,0.8174,0,0,tracked_enter,20,,,,
