video_id,segment_index,relative_path,previous_relative_path,legacy_source_group,segment_dorsalis_gt,segment_correcta_gt,segment_truth_scope,duration_seconds,frame_count,width,height,avg_fps,size_bytes
LV001,1,dorsalis_132-correcta_0/segment_001.mp4,dorsalis_132/output.mp4,one_class_132,132,0,file,26925.856615,1508416,2304,1296,1093101217/19512314,18811734724
LV002,1,dorsalis_208-correcta_0/segment_001.mp4,dorsalis_208/output.mp4,one_class_208,208,0,file,26304.822995,1448496,2304,1296,1081023666/19631491,30036842478
LV003,1,dorsalis_236-correcta_0/segment_001_06-50-28.mp4,dorsalis_236/06-50-28.mp4,dorsalis_17,,,legacy_subgroup_total_only,2814.338732,154890,2304,1296,157257224/2857351,2229035817
LV003,2,dorsalis_236-correcta_0/segment_002_07-36-51.mp4,dorsalis_236/07-36-51.mp4,dorsalis_17,,,legacy_subgroup_total_only,3599.862075,201360,2304,1296,1402948559/25081552,3445596083
LV003,3,dorsalis_236-correcta_0/segment_003_08-36-55.mp4,dorsalis_236/08-36-55.mp4,dorsalis_17,,,legacy_subgroup_total_only,3599.844684,201661,2304,1296,2063254082/36831089,3268873081
LV003,4,dorsalis_236-correcta_0/segment_004_09-36-56.mp4,dorsalis_236/09-36-56.mp4,dorsalis_17,,,legacy_subgroup_total_only,2273.680033,127377,2304,1296,1384334547/24710378,2457033195
LV003,5,dorsalis_236-correcta_0/segment_005_dorsalis_219.mp4,dorsalis_236/output.mp4,one_class_219_2025916,219,0,file,27905.466776,1563296,2304,1296,325995124/5819145,32895076216
LV004,1,dorsalis_244-correcta_0/segment_001_15-34-43.mp4,dorsalis_244/15-34-43.mp4,dorsalis_25,,,legacy_subgroup_total_only,3599.863200,201616,2304,1296,252020000/4499829,2907143767
LV004,2,dorsalis_244-correcta_0/segment_002_16-34-47.mp4,dorsalis_244/16-34-47.mp4,dorsalis_25,,,legacy_subgroup_total_only,3599.846339,201671,2304,1296,2117597009/37799306,2556321700
LV004,3,dorsalis_244-correcta_0/segment_003_17-34-47.mp4,dorsalis_244/17-34-47.mp4,dorsalis_25,,,legacy_subgroup_total_only,3599.841248,200816,2304,1296,1548278751/27754550,2523441975
LV004,4,dorsalis_244-correcta_0/segment_004_18-34-48.mp4,dorsalis_244/18-34-48.mp4,dorsalis_25,,,legacy_subgroup_total_only,1586.490485,88879,2304,1296,777107567/13871373,1574001928
LV004,5,dorsalis_244-correcta_0/segment_005_dorsalis_219.mp4,dorsalis_244/output.mp4,one_class_219_2025915,219,0,file,25093.115388,1381800,2304,1296,315397745/5727538,17118346495
LV005,1,dorsalis_61-correcta_118/segment_001_08-41-24.mp4,dorsalis_61-correcta_118/08-41-24.mp4,two_class_61_118,,,directory_total_only,3469.207746,194245,2304,1296,1996792648/35662635,4517467272
LV005,2,dorsalis_61-correcta_118/segment_002_09-41-28.mp4,dorsalis_61-correcta_118/09-41-28.mp4,two_class_61_118,,,directory_total_only,3599.835346,201667,2304,1296,1782853170/31824631,4408874538
LV005,3,dorsalis_61-correcta_118/segment_003_10-41-29.mp4,dorsalis_61-correcta_118/10-41-29.mp4,two_class_61_118,,,directory_total_only,3599.853198,201638,2304,1296,1281754581/22883228,4263505649
LV005,4,dorsalis_61-correcta_118/segment_004_11-41-30.mp4,dorsalis_61-correcta_118/11-41-30.mp4,two_class_61_118,,,directory_total_only,3599.835327,201647,2304,1296,1714855459/30613881,4297081735
LV005,5,dorsalis_61-correcta_118/segment_005_12-41-30.mp4,dorsalis_61-correcta_118/12-41-30.mp4,two_class_61_118,,,directory_total_only,2405.774816,134733,2304,1296,1614151223/28822073,2832037683
LV005,6,dorsalis_61-correcta_118/segment_006_13-36-17.mp4,dorsalis_61-correcta_118/13-36-17.mp4,two_class_61_118,,,directory_total_only,131.807821,7258,2304,1296,1814500000/32951957,178631322
LV006,1,dorsalis_79-correcta_27/segment_001_04-42-21.mp4,dorsalis_79-correcta_27/04-42-21.mp4,two-class_11_8,,,legacy_subgroup_total_only,762.140982,42272,2304,1296,2020791565/36433764,1090300045
LV006,2,dorsalis_79-correcta_27/segment_002_06-30-07.mp4,dorsalis_79-correcta_27/06-30-07.mp4,two-class_11_8,,,legacy_subgroup_total_only,3256.195988,181936,2304,1296,960138335/17184057,3788626621
LV006,3,dorsalis_79-correcta_27/segment_003_dorsalis_4-correcta_3.mp4,dorsalis_79-correcta_27/two-class_4_3.mp4,two-class_79_27,4,3,file,4662.472828,260267,2304,1296,286076715/5124833,5163903740
LV006,4,dorsalis_79-correcta_27/segment_004_dorsalis_5-correcta_6.mp4,dorsalis_79-correcta_27/two-class_5_6.mp4,two-class_79_27,5,6,file,3000.240895,167893,2304,1296,1845562905/32980132,3589478937
LV006,5,dorsalis_79-correcta_27/segment_005_dorsalis_6-correcta_1.mp4,dorsalis_79-correcta_27/two-class_6_1.mp4,two-class_79_27,6,1,file,4279.023734,238222,2304,1296,2016848361/36227309,4761435367
LV006,6,dorsalis_79-correcta_27/segment_006_dorsalis_15-correcta_2.mp4,dorsalis_79-correcta_27/two-class_15_2.mp4,two-class_79_27,15,2,file,4092.689974,222573,2304,1296,1359421155/24997144,4472781077
LV006,7,dorsalis_79-correcta_27/segment_007_dorsalis_38-correcta_7.mp4,dorsalis_79-correcta_27/two-class_38_7.mp4,two-class_79_27,38,7,file,12024.814835,672430,2304,1296,1351596333/24170093,11813637268
